Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1160.000000	0.000956971	1160.000000	0.00112045	1160.000000	0.00111193	1160.000000	0.00110964	1160.000000	0.00112029	1160.000000	1.5768e-07	
1180.000000	0.00095425	1180.000000	0.00111736	1180.000000	0.0011087	1180.000000	0.00110639	1180.000000	0.0011172	1180.000000	1.55185e-07	
1200.000000	0.000951684	1200.000000	0.00111444	1200.000000	0.00110561	1200.000000	0.0011033	1200.000000	0.00111429	1200.000000	1.52771e-07	
1220.000000	0.000949267	1220.000000	0.00111167	1220.000000	0.00110266	1220.000000	0.00110035	1220.000000	0.00111152	1220.000000	1.50433e-07	
1240.000000	0.000946992	1240.000000	0.00110906	1240.000000	0.00109984	1240.000000	0.00109753	1240.000000	0.00110891	1240.000000	1.48168e-07	
1260.000000	0.000944852	1260.000000	0.00110658	1260.000000	0.00109713	1260.000000	0.00109484	1260.000000	0.00110644	1260.000000	1.45972e-07	
1280.000000	0.000942842	1280.000000	0.00110424	1280.000000	0.00109455	1280.000000	0.00109227	1280.000000	0.0011041	1280.000000	1.43842e-07	
1300.000000	0.000940956	1300.000000	0.00110203	1300.000000	0.00109209	1300.000000	0.00108981	1300.000000	0.00110189	1300.000000	1.41775e-07	
1320.000000	0.000939188	1320.000000	0.00109995	1320.000000	0.00108973	1320.000000	0.00108747	1320.000000	0.00109981	1320.000000	1.39769e-07	
1340.000000	0.000937534	1340.000000	0.00109798	1340.000000	0.00108748	1340.000000	0.00108523	1340.000000	0.00109784	1340.000000	1.37821e-07	
1360.000000	0.00093599	1360.000000	0.00109612	1360.000000	0.00108534	1360.000000	0.00108309	1360.000000	0.00109599	1360.000000	1.35928e-07	
1380.000000	0.00093455	1380.000000	0.00109438	1380.000000	0.00108329	1380.000000	0.00108105	1380.000000	0.00109424	1380.000000	1.34088e-07	
1400.000000	0.000933211	1400.000000	0.00109273	1400.000000	0.00108133	1400.000000	0.0010791	1400.000000	0.0010926	1400.000000	1.32299e-07	
1420.000000	0.000931969	1420.000000	0.00109119	1420.000000	0.00107945	1420.000000	0.00107723	1420.000000	0.00109106	1420.000000	1.30558e-07	
