Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
600.000000	0.00372374	600.000000	0.00278274	600.000000	0.00276872	600.000000	0.00276216	600.000000	0.00278226	600.000000	4.836e-07	
620.000000	0.0036774	620.000000	0.00275241	620.000000	0.00273906	620.000000	0.00273259	620.000000	0.00275194	620.000000	4.69292e-07	
640.000000	0.00363414	640.000000	0.00272414	640.000000	0.00271167	640.000000	0.00270509	640.000000	0.00272368	640.000000	4.55838e-07	
660.000000	0.00359372	660.000000	0.00269776	660.000000	0.00268615	660.000000	0.00267948	660.000000	0.00269732	660.000000	4.43163e-07	
680.000000	0.00355588	680.000000	0.0026731	680.000000	0.00266218	680.000000	0.00265559	680.000000	0.00267267	680.000000	4.312e-07	
700.000000	0.00352043	700.000000	0.00265002	700.000000	0.00263976	700.000000	0.00263327	700.000000	0.0026496	700.000000	4.19891e-07	
720.000000	0.00348716	720.000000	0.0026284	720.000000	0.00261882	720.000000	0.0026124	720.000000	0.00262799	720.000000	4.09183e-07	
740.000000	0.00345592	740.000000	0.00260811	740.000000	0.0025992	740.000000	0.00259286	740.000000	0.00260771	740.000000	3.99028e-07	
760.000000	0.00342655	760.000000	0.00258906	760.000000	0.00258079	760.000000	0.00257454	760.000000	0.00258867	760.000000	3.89384e-07	
780.000000	0.00339892	780.000000	0.00257115	780.000000	0.00256355	780.000000	0.00255735	780.000000	0.00257077	780.000000	3.80213e-07	
800.000000	0.0033729	800.000000	0.0025543	800.000000	0.00254745	800.000000	0.00254121	800.000000	0.00255393	800.000000	3.71481e-07	
820.000000	0.00334838	820.000000	0.00253843	820.000000	0.00253236	820.000000	0.00252603	820.000000	0.00253807	820.000000	3.63155e-07	
840.000000	0.00332526	840.000000	0.00252348	840.000000	0.00251812	840.000000	0.00251174	840.000000	0.00252313	840.000000	3.55209e-07	
860.000000	0.00330346	860.000000	0.00250938	860.000000	0.00250464	860.000000	0.00249829	860.000000	0.00250904	860.000000	3.47617e-07	
880.000000	0.00328287	880.000000	0.00249608	880.000000	0.0024919	880.000000	0.00248562	880.000000	0.00249574	880.000000	3.40354e-07	
900.000000	0.00326343	900.000000	0.00248352	900.000000	0.00247988	900.000000	0.00247367	900.000000	0.00248319	900.000000	3.334e-07	
920.000000	0.00324507	920.000000	0.00247166	920.000000	0.00246855	920.000000	0.00246239	920.000000	0.00247134	920.000000	3.26736e-07	
940.000000	0.00322772	940.000000	0.00246046	940.000000	0.00245786	940.000000	0.00245175	940.000000	0.00246014	940.000000	3.20343e-07	
960.000000	0.00321132	960.000000	0.00244986	960.000000	0.00244777	960.000000	0.00244169	960.000000	0.00244955	960.000000	3.14204e-07	
980.000000	0.00319582	980.000000	0.00243985	980.000000	0.00243824	980.000000	0.00243219	980.000000	0.00243954	980.000000	3.08306e-07	
1000.000000	0.00318116	1000.000000	0.00243037	1000.000000	0.00242922	1000.000000	0.0024232	1000.000000	0.00243007	1000.000000	3.02633e-07	
1020.000000	0.00316731	1020.000000	0.00242141	1020.000000	0.00242068	1020.000000	0.00241471	1020.000000	0.00242112	1020.000000	2.97173e-07	
