Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
290.000000	0.00271426	290.000000	0.00274417	290.000000	0.00269356	290.000000	0.00268856	290.000000	0.00274338	290.000000	7.86859e-07	
300.000000	0.00266349	300.000000	0.00269388	300.000000	0.00264391	300.000000	0.0026389	300.000000	0.00269311	300.000000	7.62673e-07	
310.000000	0.00261587	310.000000	0.00264678	310.000000	0.00259729	310.000000	0.00259241	310.000000	0.00264604	310.000000	7.39982e-07	
320.000000	0.00257111	320.000000	0.00260259	320.000000	0.0025536	320.000000	0.00254882	320.000000	0.00260187	320.000000	7.1865e-07	
330.000000	0.00252896	330.000000	0.00256105	330.000000	0.00251253	330.000000	0.00250786	330.000000	0.00256035	330.000000	6.98558e-07	
340.000000	0.00248922	340.000000	0.00252193	340.000000	0.00247394	340.000000	0.00246932	340.000000	0.00252125	340.000000	6.79598e-07	
350.000000	0.00245166	350.000000	0.00248503	350.000000	0.00243773	350.000000	0.00243299	350.000000	0.00248437	350.000000	6.61678e-07	
360.000000	0.00241614	360.000000	0.00245018	360.000000	0.00240347	360.000000	0.0023987	360.000000	0.00244954	360.000000	6.44712e-07	
370.000000	0.00238248	370.000000	0.00241721	370.000000	0.00237095	370.000000	0.00236628	370.000000	0.00241658	370.000000	6.28625e-07	
380.000000	0.00235055	380.000000	0.00238597	380.000000	0.00234018	380.000000	0.00233559	380.000000	0.00238536	380.000000	6.13351e-07	
390.000000	0.00232022	390.000000	0.00235635	390.000000	0.00231102	390.000000	0.0023065	390.000000	0.00235575	390.000000	5.98827e-07	
400.000000	0.00229138	400.000000	0.00232821	400.000000	0.00228333	400.000000	0.0022789	400.000000	0.00232763	400.000000	5.85e-07	
